date,open,high,low,close,volume,volume(HYPE),market_cap
05/09/2025,$23.31,$25.69,$23.01,$24.71,$78.4 m,3193438,$8.2 bn
05/08/2025,$21.04,$23.44,$20.89,$23.27,$65 m,2979368,$7.3 bn
05/07/2025,$21.00,$21.44,$20.71,$21.03,$30.3 m,1436464,$7 bn
05/06/2025,$20.28,$21.05,$19.56,$20.97,$35.1 m,1732938,$6.8 bn
05/05/2025,$19.90,$20.74,$19.86,$20.27,$29.7 m,1462549,$6.8 bn
05/04/2025,$20.95,$21.14,$19.81,$19.90,$19.5 m,943469,$6.9 bn
05/03/2025,$20.80,$21.46,$20.16,$20.96,$19.1 m,923168,$6.9 bn
05/02/2025,$19.91,$21.42,$19.91,$20.77,$33 m,1601104,$6.9 bn
05/01/2025,$20.01,$21.12,$19.29,$20.31,$43.3 m,2162036,$6.7 bn
04/30/2025,$18.61,$20.08,$17.73,$19.95,$34.9 m,1876269,$6.2 bn
04/29/2025,$18.70,$19.07,$18.21,$18.57,$33.4 m,1782390,$6.3 bn
04/28/2025,$17.39,$18.70,$16.93,$18.66,$35.4 m,1980929,$6 bn
04/27/2025,$17.94,$18.19,$17.35,$17.39,$21.1 m,1195570,$5.9 bn
04/26/2025,$18.38,$18.43,$17.49,$17.93,$27.2 m,1511296,$6 bn
04/25/2025,$18.80,$19.13,$18.18,$18.40,$30.8 m,1653644,$6.2 bn
04/24/2025,$18.48,$18.96,$17.75,$18.78,$36.6 m,2004895,$6.1 bn
04/23/2025,$19.21,$19.23,$18.19,$18.44,$53.8 m,2867157,$6.3 bn
04/22/2025,$18.20,$19.25,$17.94,$19.22,$58.2 m,3141047,$6.2 bn
04/21/2025,$17.63,$18.45,$17.35,$18.20,$42.4 m,2349530,$6 bn
04/20/2025,$18.08,$18.50,$17.21,$17.61,$28.2 m,1587199,$5.9 bn
04/19/2025,$17.07,$18.22,$16.82,$18.07,$40.7 m,2281193,$6 bn
04/18/2025,$17.17,$17.31,$16.35,$17.06,$105.7 m,6270495,$5.6 bn
04/17/2025,$15.75,$16.75,$15.59,$16.73,$57.6 m,3554937,$5.4 bn
04/16/2025,$15.04,$16.25,$14.68,$15.75,$53.3 m,3459035,$5.1 bn
04/15/2025,$15.74,$16.53,$15.06,$15.08,$35.4 m,2230462,$5.3 bn
04/14/2025,$15.40,$16.29,$15.34,$15.73,$40.1 m,2539473,$5.3 bn
04/13/2025,$16.33,$16.81,$15.03,$15.42,$50 m,3135858,$5.3 bn
04/12/2025,$15.69,$16.80,$15.20,$16.31,$44.7 m,2816452,$5.3 bn
